마커번호,장소이름,위도,경도,장소종류,하위행정구역코드,
,파리공원,37.5345394834,126.8770978335,2,su,su
,용왕산근린공원,37.5441383795,126.8777336167,2,su,su
,용산가족공원,37.5201069720,126.9845717812,2,su,su
,개운사(서울),37.5899857439,127.0280213987,2,su,su
,덕수궁,37.5661486714,126.9749296905,2,su,su
,종묘 [유네스코 세계문화유산],37.5731898785,126.9948998937,2,su,su
,서서울호수공원,37.5274172505,126.8300634330,2,su,su
,압구정 로데오거리,37.5268766055,127.0388971983,2,su,su
,약수사(서울),37.4595603285,126.9344613837,2,su,su
,길동생태공원,37.5413187204,127.1568388307,2,su,su
,창덕궁과 후원 [유네스코 세계문화유산],37.5809583673,126.9919888278,2,su,su
,덕수궁 돌담길,37.5660820124,126.9748935853,2,su,su
,홍지문 및 탕춘대성,37.5985196107,126.9582886241,2,su,su
,청계천,37.5697015781,127.0050907302,2,su,su
,아차산,37.5529441189,127.0998297997,2,su,su
,부암동,37.5924870824,126.9640854894,2,su,su
,아시아공원,37.5100820131,127.0767025661,2,su,su
,영등포근린공원,37.5153173200,126.9108425219,2,su,su
,동십자각,37.5761337030,126.9794373301,2,su,su
,경희궁 흥화문,37.5704814320,126.9710493661,2,su,su
,경희궁공원,37.5707591425,126.9691050910,2,su,su
,훈련원공원,37.5673018331,127.0037631418,2,su,su
,나석주의사동상,37.5655100385,126.9850482312,2,su,su
,해공신익희선생동상,37.5363494014,127.1318412470,2,su,su
,종로 청계 관광특구,37.5826581698,126.9919526715,2,su,su
,롯데월드타워&롯데월드몰,37.5126349603,127.1025918048,2,su,su
,구룡산(서울),37.4690781677,127.0615995465,2,su,su
,라온트래블스토리지,37.5565850529,126.9279647971,2,su,su
,뮤지엄 김치간,37.5735368801,126.9848591321,2,su,su
,서울로 7017,37.5545193912,126.9706609645,2,su,su
,시간을 담다,37.5627326749,126.9901422899,2,su,su
,파크하비오 워터킹덤&스파,37.4805612782,127.1232769444,2,su,su
,AHC스파,37.5217715371,127.0330284328,2,su,su
,노들섬,37.5177234407,126.9580659298,2,su,su
,망우리 시민공원,37.5984057744,127.1148326940,2,su,su
,한복남,37.5762891312,126.9733212169,2,su,su
,선유도공원,37.5424362298,126.9018342452,2,su,su
,용양봉저정 공원,37.5124879286,126.9575327922,2,su,su
,인사동,37.5754310780,126.9833758804,2,su,su
,난지천공원,37.5725158027,126.8870625217,2,su,su
,G밸리 4차산업체험관,37.4826347586,126.8970613627,2,su,su
,백련사(서울),37.6470369314,126.9995223749,2,su,su
,자매공원(앙카라공원),37.5180729154,126.9310100514,2,su,su
,민영환 자결터,37.5718842715,126.9835815178,2,su,su
,반포대교 달빛무지개분수,37.5076780054,126.9926825046,2,su,su
,효사정,37.5106549012,126.9627629237,2,su,su
,영등포 신길동 홍어거리,37.5105456646,126.9115453697,2,su,su
,용마산,37.5782494228,127.0948573105,2,su,su
,잠실한강공원,37.5210783227,127.0969170819,2,su,su
,신사동 가로수길,37.5215324916,127.0227543748,2,su,su
,파크 하얏트 서울 코너스톤,37.5087152814,127.0642648482,3,su,su
,황금가든,37.5572007092,127.0304776611,3,su,su
,비하인드(B-hind),37.5492913074,126.9196546499,3,su,su
,자인뭉티기,37.4852229871,127.0321378812,3,su,su
,코스모스분식,37.6105424646,126.9165754218,3,su,su
,드럼통 참숯석쇠구이,37.5056967688,127.0965731048,3,su,su
,벽제갈비 방이,37.5100745717,127.1261508456,3,su,su
