bjd_cd,center_long,center_lati,bjd_nm,level,sd_cd,sd_nm,sgg_cd,sgg_nm,emd_cd,emd_nm
1100000000,126.9918052,37.55190294,서울특별시,0,11,서울특별시,11000,,11000000,
1111000000,126.9773213,37.59491732,서울특별시 종로구,1,11,서울특별시,11110,종로구,11110000,
1111010100,126.9693239,37.58920545,서울특별시 종로구 청운동,2,11,서울특별시,11110,종로구,11110101,청운동
1111010200,126.9679415,37.58450635,서울특별시 종로구 신교동,2,11,서울특별시,11110,종로구,11110102,신교동
1111010300,126.9727063,37.58469795,서울특별시 종로구 궁정동,2,11,서울특별시,11110,종로구,11110103,궁정동
1111010400,126.9719527,37.58266756,서울특별시 종로구 효자동,2,11,서울특별시,11110,종로구,11110104,효자동
1111010500,126.9724744,37.58056045,서울특별시 종로구 창성동,2,11,서울특별시,11110,종로구,11110105,창성동
1111010600,126.9728698,37.57807741,서울특별시 종로구 통의동,2,11,서울특별시,11110,종로구,11110106,통의동
1111010700,126.9737908,37.57532129,서울특별시 종로구 적선동,2,11,서울특별시,11110,종로구,11110107,적선동
1111010800,126.9702194,37.58016137,서울특별시 종로구 통인동,2,11,서울특별시,11110,종로구,11110108,통인동
1111010900,126.962737,37.58039873,서울특별시 종로구 누상동,2,11,서울특별시,11110,종로구,11110109,누상동
1111011000,126.968284,37.57929005,서울특별시 종로구 누하동,2,11,서울특별시,11110,종로구,11110110,누하동
1111011100,126.9634101,37.58353853,서울특별시 종로구 옥인동,2,11,서울특별시,11110,종로구,11110111,옥인동
1111011200,126.970873,37.5775935,서울특별시 종로구 체부동,2,11,서울특별시,11110,종로구,11110112,체부동
1111011300,126.9681453,37.57729943,서울특별시 종로구 필운동,2,11,서울특별시,11110,종로구,11110113,필운동
1111011400,126.9717423,37.57531367,서울특별시 종로구 내자동,2,11,서울특별시,11110,종로구,11110114,내자동
1111011500,126.9659572,37.57541166,서울특별시 종로구 사직동,2,11,서울특별시,11110,종로구,11110115,사직동
1111011600,126.9747589,37.57312324,서울특별시 종로구 도렴동,2,11,서울특별시,11110,종로구,11110116,도렴동
1111011700,126.9740135,37.57158829,서울특별시 종로구 당주동,2,11,서울특별시,11110,종로구,11110117,당주동
1111011800,126.9719717,37.57332521,서울특별시 종로구 내수동,2,11,서울특별시,11110,종로구,11110118,내수동
1111011900,126.9767892,37.58030401,서울특별시 종로구 세종로,2,11,서울특별시,11110,종로구,11110119,세종로
1111012000,126.973922,37.57019018,서울특별시 종로구 신문로1가,2,11,서울특별시,11110,종로구,11110120,신문로1가
1111012100,126.9692253,37.57086963,서울특별시 종로구 신문로2가,2,11,서울특별시,11110,종로구,11110121,신문로2가
1111012200,126.9801789,37.57145109,서울특별시 종로구 청진동,2,11,서울특별시,11110,종로구,11110122,청진동
1111012300,126.9804207,37.56952204,서울특별시 종로구 서린동,2,11,서울특별시,11110,종로구,11110123,서린동
1111012400,126.9806453,37.57369824,서울특별시 종로구 수송동,2,11,서울특별시,11110,종로구,11110124,수송동
1111012500,126.9796777,37.57531295,서울특별시 종로구 중학동,2,11,서울특별시,11110,종로구,11110125,중학동
1111012600,126.9797151,37.57043337,서울특별시 종로구 종로1가,2,11,서울특별시,11110,종로구,11110126,종로1가
1111012700,126.9831783,37.57130655,서울특별시 종로구 공평동,2,11,서울특별시,11110,종로구,11110127,공평동
1111012800,126.9846825,37.57415668,서울특별시 종로구 관훈동,2,11,서울특별시,11110,종로구,11110128,관훈동
1111012900,126.9830128,37.57352261,서울특별시 종로구 견지동,2,11,서울특별시,11110,종로구,11110129,견지동
1111013000,126.9925501,37.58171457,서울특별시 종로구 와룡동,2,11,서울특별시,11110,종로구,11110130,와룡동
1111013100,126.9916744,37.57650587,서울특별시 종로구 권농동,2,11,서울특별시,11110,종로구,11110131,권농동
1111013200,126.9882389,37.57638912,서울특별시 종로구 운니동,2,11,서울특별시,11110,종로구,11110132,운니동
1111013300,126.9897057,37.57434877,서울특별시 종로구 익선동,2,11,서울특별시,11110,종로구,11110133,익선동
1111013400,126.9864208,37.57520168,서울특별시 종로구 경운동,2,11,서울특별시,11110,종로구,11110134,경운동
1111013500,126.9860044,37.56912548,서울특별시 종로구 관철동,2,11,서울특별시,11110,종로구,11110135,관철동
1111013600,126.9860738,37.57171567,서울특별시 종로구 인사동,2,11,서울특별시,11110,종로구,11110136,인사동
1111013700,126.9886233,37.57257268,서울특별시 종로구 낙원동,2,11,서울특별시,11110,종로구,11110137,낙원동
1111013800,126.9869347,37.5704583,서울특별시 종로구 종로2가,2,11,서울특별시,11110,종로구,11110138,종로2가
1111013900,126.9807261,37.58279761,서울특별시 종로구 팔판동,2,11,서울특별시,11110,종로구,11110139,팔판동
1111014000,126.9810099,37.5907547,서울특별시 종로구 삼청동,2,11,서울특별시,11110,종로구,11110140,삼청동
1111014100,126.9836299,37.57740019,서울특별시 종로구 안국동,2,11,서울특별시,11110,종로구,11110141,안국동
1111014200,126.9809344,37.57962288,서울특별시 종로구 소격동,2,11,서울특별시,11110,종로구,11110142,소격동
1111014300,126.9827311,37.58069151,서울특별시 종로구 화동,2,11,서울특별시,11110,종로구,11110143,화동
1111014400,126.9804003,37.57726223,서울특별시 종로구 사간동,2,11,서울특별시,11110,종로구,11110144,사간동
1111014500,126.9818728,37.57677744,서울특별시 종로구 송현동,2,11,서울특별시,11110,종로구,11110145,송현동
1111014600,126.9848415,37.58268347,서울특별시 종로구 가회동,2,11,서울특별시,11110,종로구,11110146,가회동
1111014700,126.9852843,37.57832853,서울특별시 종로구 재동,2,11,서울특별시,11110,종로구,11110147,재동
1111014800,126.9869298,37.58235185,서울특별시 종로구 계동,2,11,서울특별시,11110,종로구,11110148,계동
1111014900,126.9882633,37.58392421,서울특별시 종로구 원서동,2,11,서울특별시,11110,종로구,11110149,원서동
1111015000,126.994196,37.57438433,서울특별시 종로구 훈정동,2,11,서울특별시,11110,종로구,11110150,훈정동
1111015100,126.9917427,37.57243596,서울특별시 종로구 묘동,2,11,서울특별시,11110,종로구,11110151,묘동
1111015200,126.992998,37.5721947,서울특별시 종로구 봉익동,2,11,서울특별시,11110,종로구,11110152,봉익동
1111015300,126.9907417,37.57198186,서울특별시 종로구 돈의동,2,11,서울특별시,11110,종로구,11110153,돈의동
1111015400,126.994044,37.5692376,서울특별시 종로구 장사동,2,11,서울특별시,11110,종로구,11110154,장사동
1111015500,126.9904753,37.56907654,서울특별시 종로구 관수동,2,11,서울특별시,11110,종로구,11110155,관수동
1111015600,126.9923534,37.57040848,서울특별시 종로구 종로3가,2,11,서울특별시,11110,종로구,11110156,종로3가
1111015700,126.9976926,37.57234352,서울특별시 종로구 인의동,2,11,서울특별시,11110,종로구,11110157,인의동
1111015800,126.9983083,37.56963703,서울특별시 종로구 예지동,2,11,서울특별시,11110,종로구,11110158,예지동
1111015900,126.9975372,37.57556173,서울특별시 종로구 원남동,2,11,서울특별시,11110,종로구,11110159,원남동
1111016000,127.0001684,37.57375254,서울특별시 종로구 연지동,2,11,서울특별시,11110,종로구,11110160,연지동
1111016100,126.9979532,37.57067202,서울특별시 종로구 종로4가,2,11,서울특별시,11110,종로구,11110161,종로4가
1111016200,127.0030882,37.57305,서울특별시 종로구 효제동,2,11,서울특별시,11110,종로구,11110162,효제동
1111016300,127.0035339,37.57061741,서울특별시 종로구 종로5가,2,11,서울특별시,11110,종로구,11110163,종로5가
1111016400,127.0076852,37.57194722,서울특별시 종로구 종로6가,2,11,서울특별시,11110,종로구,11110164,종로6가
1111016500,127.005633,37.57724049,서울특별시 종로구 이화동,2,11,서울특별시,11110,종로구,11110165,이화동
1111016600,126.9996944,37.57870344,서울특별시 종로구 연건동,2,11,서울특별시,11110,종로구,11110166,연건동
1111016700,127.005962,37.5749588,서울특별시 종로구 충신동,2,11,서울특별시,11110,종로구,11110167,충신동
1111016800,127.0048791,37.58140392,서울특별시 종로구 동숭동,2,11,서울특별시,11110,종로구,11110168,동숭동
1111016900,127.0017548,37.58781302,서울특별시 종로구 혜화동,2,11,서울특별시,11110,종로구,11110169,혜화동
1111017000,126.9974876,37.58911429,서울특별시 종로구 명륜1가,2,11,서울특별시,11110,종로구,11110170,명륜1가
1111017100,126.9990413,37.58470008,서울특별시 종로구 명륜2가,2,11,서울특별시,11110,종로구,11110171,명륜2가
1111017200,126.9998816,37.58223245,서울특별시 종로구 명륜4가,2,11,서울특별시,11110,종로구,11110172,명륜4가
1111017300,126.9931473,37.58822121,서울특별시 종로구 명륜3가,2,11,서울특별시,11110,종로구,11110173,명륜3가
1111017400,127.0124486,37.57540762,서울특별시 종로구 창신동,2,11,서울특별시,11110,종로구,11110174,창신동
1111017500,127.0189456,37.5755741,서울특별시 종로구 숭인동,2,11,서울특별시,11110,종로구,11110175,숭인동
1111017600,126.9644685,37.56854771,서울특별시 종로구 교남동,2,11,서울특별시,11110,종로구,11110176,교남동
1111017700,126.966861,37.56791634,서울특별시 종로구 평동,2,11,서울특별시,11110,종로구,11110177,평동
1111017800,126.9652182,37.5700805,서울특별시 종로구 송월동,2,11,서울특별시,11110,종로구,11110178,송월동
1111017900,126.9639857,37.57115084,서울특별시 종로구 홍파동,2,11,서울특별시,11110,종로구,11110179,홍파동
1111018000,126.9614576,37.57153892,서울특별시 종로구 교북동,2,11,서울특별시,11110,종로구,11110180,교북동
1111018100,126.9626274,37.57368012,서울특별시 종로구 행촌동,2,11,서울특별시,11110,종로구,11110181,행촌동
1111018200,126.9592754,37.61937824,서울특별시 종로구 구기동,2,11,서울특별시,11110,종로구,11110182,구기동
1111018300,126.9745007,37.61302931,서울특별시 종로구 평창동,2,11,서울특별시,11110,종로구,11110183,평창동
1111018400,126.9655904,37.59476325,서울특별시 종로구 부암동,2,11,서울특별시,11110,종로구,11110184,부암동
1111018500,126.9564818,37.60085596,서울특별시 종로구 홍지동,2,11,서울특별시,11110,종로구,11110185,홍지동
1111018600,126.9618378,37.60252001,서울특별시 종로구 신영동,2,11,서울특별시,11110,종로구,11110186,신영동
1111018700,126.9585814,37.57710996,서울특별시 종로구 무악동,2,11,서울특별시,11110,종로구,11110187,무악동
1114000000,126.9959681,37.56014356,서울특별시 중구,1,11,서울특별시,11140,중구,11140000,
1114010100,126.9790092,37.56815708,서울특별시 중구 무교동,2,11,서울특별시,11140,중구,11140101,무교동
1114010200,126.9811863,37.5679094,서울특별시 중구 다동,2,11,서울특별시,11140,중구,11140102,다동
1114010300,126.9772465,37.56773133,서울특별시 중구 태평로1가,2,11,서울특별시,11140,중구,11140103,태평로1가
1114010400,126.9805403,37.56599854,서울특별시 중구 을지로1가,2,11,서울특별시,11140,중구,11140104,을지로1가
1114010500,126.9859301,37.5658843,서울특별시 중구 을지로2가,2,11,서울특별시,11140,중구,11140105,을지로2가
1114010600,126.9828604,37.56757978,서울특별시 중구 남대문로1가,2,11,서울특별시,11140,중구,11140106,남대문로1가
1114010700,126.9842476,37.56809747,서울특별시 중구 삼각동,2,11,서울특별시,11140,중구,11140107,삼각동
1114010800,126.9846404,37.56728482,서울특별시 중구 수하동,2,11,서울특별시,11140,중구,11140108,수하동
1114010900,126.9869848,37.56744983,서울특별시 중구 장교동,2,11,서울특별시,11140,중구,11140109,장교동
1114011000,126.9895155,37.56746732,서울특별시 중구 수표동,2,11,서울특별시,11140,중구,11140110,수표동
1114011100,126.9800647,37.56407544,서울특별시 중구 소공동,2,11,서울특별시,11140,중구,11140111,소공동
1114011200,126.9776216,37.55807988,서울특별시 중구 남창동,2,11,서울특별시,11140,중구,11140112,남창동
1114011300,126.9782046,37.5624526,서울특별시 중구 북창동,2,11,서울특별시,11140,중구,11140113,북창동
1114011400,126.9763635,37.56298803,서울특별시 중구 태평로2가,2,11,서울특별시,11140,중구,11140114,태평로2가
1114011500,126.982118,37.56395497,서울특별시 중구 남대문로2가,2,11,서울특별시,11140,중구,11140115,남대문로2가
1114011600,126.9795916,37.56170046,서울특별시 중구 남대문로3가,2,11,서울특별시,11140,중구,11140116,남대문로3가
1114011700,126.9757,37.56060501,서울특별시 중구 남대문로4가,2,11,서울특별시,11140,중구,11140117,남대문로4가
1114011800,126.9753115,37.55610013,서울특별시 중구 남대문로5가,2,11,서울특별시,11140,중구,11140118,남대문로5가
1114011900,126.9727725,37.55909999,서울특별시 중구 봉래동1가,2,11,서울특별시,11140,중구,11140119,봉래동1가
1114012000,126.9709871,37.5565563,서울특별시 중구 봉래동2가,2,11,서울특별시,11140,중구,11140120,봉래동2가
1114012100,126.9815145,37.55651031,서울특별시 중구 회현동1가,2,11,서울특별시,11140,중구,11140121,회현동1가
1114012200,126.9829342,37.55876258,서울특별시 중구 회현동2가,2,11,서울특별시,11140,중구,11140122,회현동2가
1114012300,126.9840771,37.56016838,서울특별시 중구 회현동3가,2,11,서울특별시,11140,중구,11140123,회현동3가
1114012400,126.9825182,37.56117,서울특별시 중구 충무로1가,2,11,서울특별시,11140,중구,11140124,충무로1가
1114012500,126.9877968,37.56172856,서울특별시 중구 충무로2가,2,11,서울특별시,11140,중구,11140125,충무로2가
1114012600,126.9846625,37.56430296,서울특별시 중구 명동1가,2,11,서울특별시,11140,중구,11140126,명동1가
1114012700,126.985254,37.56290325,서울특별시 중구 명동2가,2,11,서울특별시,11140,중구,11140127,명동2가
1114012800,126.9845977,37.55934759,서울특별시 중구 남산동1가,2,11,서울특별시,11140,중구,11140128,남산동1가
1114012900,126.9857876,37.55859158,서울특별시 중구 남산동2가,2,11,서울특별시,11140,중구,11140129,남산동2가
1114013000,126.9874176,37.56015397,서울특별시 중구 남산동3가,2,11,서울특별시,11140,중구,11140130,남산동3가
1114013100,126.9878051,37.56442966,서울특별시 중구 저동1가,2,11,서울특별시,11140,중구,11140131,저동1가
1114013200,126.9958393,37.56232925,서울특별시 중구 충무로4가,2,11,서울특별시,11140,중구,11140132,충무로4가
1114013300,126.9996416,37.56284332,서울특별시 중구 충무로5가,2,11,서울특별시,11140,중구,11140133,충무로5가
1114013400,126.9961464,37.56420423,서울특별시 중구 인현동2가,2,11,서울특별시,11140,중구,11140134,인현동2가
1114013500,126.9982083,37.56425405,서울특별시 중구 예관동,2,11,서울특별시,11140,중구,11140135,예관동
1114013600,127.0005628,37.56134647,서울특별시 중구 묵정동,2,11,서울특별시,11140,중구,11140136,묵정동
1114013700,126.9924666,37.56108823,서울특별시 중구 필동1가,2,11,서울특별시,11140,중구,11140137,필동1가
1114013800,126.9947217,37.55877227,서울특별시 중구 필동2가,2,11,서울특별시,11140,중구,11140138,필동2가
1114013900,126.9970218,37.55851624,서울특별시 중구 필동3가,2,11,서울특별시,11140,중구,11140139,필동3가
1114014000,126.990829,37.56057518,서울특별시 중구 남학동,2,11,서울특별시,11140,중구,11140140,남학동
1114014100,126.9894031,37.56065989,서울특별시 중구 주자동,2,11,서울특별시,11140,중구,11140141,주자동
1114014200,126.9901171,37.55522164,서울특별시 중구 예장동,2,11,서울특별시,11140,중구,11140142,예장동
1114014300,127.0075868,37.56098013,서울특별시 중구 장충동1가,2,11,서울특별시,11140,중구,11140143,장충동1가
1114014400,127.0005899,37.55499479,서울특별시 중구 장충동2가,2,11,서울특별시,11140,중구,11140144,장충동2가
1114014500,127.0053243,37.56502343,서울특별시 중구 광희동1가,2,11,서울특별시,11140,중구,11140145,광희동1가
1114014600,127.0084283,37.5639453,서울특별시 중구 광희동2가,2,11,서울특별시,11140,중구,11140146,광희동2가
1114014700,127.0042426,37.56352924,서울특별시 중구 쌍림동,2,11,서울특별시,11140,중구,11140147,쌍림동
1114014800,127.0068842,37.56778312,서울특별시 중구 을지로6가,2,11,서울특별시,11140,중구,11140148,을지로6가
1114014900,127.0096241,37.56628825,서울특별시 중구 을지로7가,2,11,서울특별시,11140,중구,11140149,을지로7가
1114015000,126.9977536,37.56644226,서울특별시 중구 을지로4가,2,11,서울특별시,11140,중구,11140150,을지로4가
1114015100,127.0023546,37.56672536,서울특별시 중구 을지로5가,2,11,서울특별시,11140,중구,11140151,을지로5가
1114015200,126.9993763,37.56826955,서울특별시 중구 주교동,2,11,서울특별시,11140,중구,11140152,주교동
1114015300,127.0029803,37.56872704,서울특별시 중구 방산동,2,11,서울특별시,11140,중구,11140153,방산동
1114015400,127.0008856,37.56473508,서울특별시 중구 오장동,2,11,서울특별시,11140,중구,11140154,오장동
1114015500,126.9922082,37.56632624,서울특별시 중구 을지로3가,2,11,서울특별시,11140,중구,11140155,을지로3가
1114015600,126.9929205,37.56781784,서울특별시 중구 입정동,2,11,서울특별시,11140,중구,11140156,입정동
1114015700,126.995939,37.56767655,서울특별시 중구 산림동,2,11,서울특별시,11140,중구,11140157,산림동
1114015800,126.9917456,37.56238683,서울특별시 중구 충무로3가,2,11,서울특별시,11140,중구,11140158,충무로3가
1114015900,126.9922244,37.564426,서울특별시 중구 초동,2,11,서울특별시,11140,중구,11140159,초동
1114016000,126.9943101,37.56458804,서울특별시 중구 인현동1가,2,11,서울특별시,11140,중구,11140160,인현동1가
1114016100,126.9897933,37.56423969,서울특별시 중구 저동2가,2,11,서울특별시,11140,중구,11140161,저동2가
1114016200,127.0136696,37.55791053,서울특별시 중구 신당동,2,11,서울특별시,11140,중구,11140162,신당동
1114016300,127.0163806,37.56731099,서울특별시 중구 흥인동,2,11,서울특별시,11140,중구,11140163,흥인동
1114016400,127.0152873,37.56437425,서울특별시 중구 무학동,2,11,서울특별시,11140,중구,11140164,무학동
1114016500,127.0208385,37.56854521,서울특별시 중구 황학동,2,11,서울특별시,11140,중구,11140165,황학동
1114016600,126.9739194,37.5631419,서울특별시 중구 서소문동,2,11,서울특별시,11140,중구,11140166,서소문동
1114016700,126.9731461,37.56661111,서울특별시 중구 정동,2,11,서울특별시,11140,중구,11140167,정동
1114016800,126.9707134,37.56257324,서울특별시 중구 순화동,2,11,서울특별시,11140,중구,11140168,순화동
1114016900,126.9684761,37.56411651,서울특별시 중구 의주로1가,2,11,서울특별시,11140,중구,11140169,의주로1가
1114017000,126.9682787,37.56652616,서울특별시 중구 충정로1가,2,11,서울특별시,11140,중구,11140170,충정로1가
1114017100,126.9663364,37.55883621,서울특별시 중구 중림동,2,11,서울특별시,11140,중구,11140171,중림동
1114017200,126.9696216,37.56073659,서울특별시 중구 의주로2가,2,11,서울특별시,11140,중구,11140172,의주로2가
